domain,response_code,target,nameservers
partnersgroup.gg,302,https://www.partnersgroup.com,"ns-1697.awsdns-20.co.uk., ns-661.awsdns-18.net., ns-1182.awsdns-19.org., ns-409.awsdns-51.com."
partnersgroup.gr,302,https://www.partnersgroup.com,"ns-730.awsdns-27.net., ns-55.awsdns-06.com., ns-1485.awsdns-57.org., ns-1715.awsdns-22.co.uk."
partnersgroup.hr,302,https://www.partnersgroup.com,"ns-845.awsdns-41.net., ns-135.awsdns-16.com., ns-1218.awsdns-24.org., ns-1643.awsdns-13.co.uk."
partnersgroup.hu,302,https://www.partnersgroup.com,"ns-1382.awsdns-44.org., ns-641.awsdns-16.net., ns-485.awsdns-60.com., ns-1955.awsdns-52.co.uk."
partnersgroup.id,302,https://www.partnersgroup.com,"ns-637.awsdns-15.net., ns-1183.awsdns-19.org., ns-6.awsdns-00.com., ns-1779.awsdns-30.co.uk."
partnersgroup.ie,302,https://www.partnersgroup.com,"ns-949.awsdns-54.net., ns-1417.awsdns-49.org., ns-2035.awsdns-62.co.uk., ns-222.awsdns-27.com."
partnersgroup.in,302,https://www.partnersgroup.com,"ns-1465.awsdns-55.org., ns-121.awsdns-15.com., ns-539.awsdns-03.net., ns-1570.awsdns-04.co.uk."
partnersgroup.info,302,https://www.partnersgroup.com,"ns-407.awsdns-50.com., ns-1684.awsdns-18.co.uk., ns-960.awsdns-56.net., ns-1380.awsdns-44.org."
partnersgroup.io,Error,,
partnersgroup.is,302,https://www.partnersgroup.com,"ns-1295.awsdns-33.org., ns-338.awsdns-42.com., ns-590.awsdns-09.net., ns-1668.awsdns-16.co.uk."
partnersgroup.it,302,https://www.partnersgroup.com,"ns-251.awsdns-31.com., ns-1950.awsdns-51.co.uk., ns-907.awsdns-49.net., ns-1345.awsdns-40.org."
partnersgroup.jp,301,https://www.partnersgroup.jp/,"ns-1641.awsdns-13.co.uk., ns-1268.awsdns-30.org., ns-643.awsdns-16.net., ns-285.awsdns-35.com."
partnersgroup.kr,302,https://www.partnersgroup.com,"ns-910.awsdns-49.net., ns-2030.awsdns-61.co.uk., ns-1480.awsdns-57.org., ns-193.awsdns-24.com."
partnersgroup.li,302,https://www.partnersgroup.com,"ns-1643.awsdns-13.co.uk., ns-629.awsdns-14.net., ns-1242.awsdns-27.org., ns-327.awsdns-40.com."
partnersgroup.lt,302,https://www.partnersgroup.com,"ns-992.awsdns-60.net., ns-1778.awsdns-30.co.uk., ns-1206.awsdns-22.org., ns-135.awsdns-16.com."
partnersgroup.lu,302,https://www.partnersgroup.com,"ns-940.awsdns-53.net., ns-197.awsdns-24.com., ns-1081.awsdns-07.org., ns-1663.awsdns-15.co.uk."
partnersgroup.lv,302,https://www.partnersgroup.com,"ns-651.awsdns-17.net., ns-1741.awsdns-25.co.uk., ns-1384.awsdns-45.org., ns-261.awsdns-32.com."
partnersgroup.my,302,https://www.partnersgroup.com,"ns-1523.awsdns-62.org., ns-1593.awsdns-07.co.uk., ns-7.awsdns-00.com., ns-618.awsdns-13.net."
partnersgroup.net.au,302,https://www.partnersgroup.com,"ns-301.awsdns-37.com., ns-1590.awsdns-06.co.uk., ns-1144.awsdns-15.org., ns-700.awsdns-23.net."
partnersgroup.net,301,https://www.partnersgroup.com/,"ns-351.awsdns-43.com., ns-890.awsdns-47.net., ns-1270.awsdns-30.org., ns-1958.awsdns-52.co.uk."
partnersgroup.nl,302,https://www.partnersgroup.com,"ns-2025.awsdns-61.co.uk., ns-589.awsdns-09.net., ns-1181.awsdns-19.org., ns-300.awsdns-37.com."
partnersgroup.no,302,https://www.partnersgroup.com,"ns-1694.awsdns-19.co.uk., ns-198.awsdns-24.com., ns-537.awsdns-03.net., ns-1514.awsdns-61.org."
partnersgroup.nz,302,https://www.partnersgroup.com,"ns-2.awsdns-00.com., ns-1293.awsdns-33.org., ns-717.awsdns-25.net., ns-1967.awsdns-53.co.uk."
partnersgroup.ph,302,https://www.partnersgroup.com,"ns-1900.awsdns-45.co.uk., ns-677.awsdns-20.net., ns-212.awsdns-26.com., ns-1056.awsdns-04.org."
partnersgroup.pt,302,https://www.partnersgroup.com,"ns-1414.awsdns-48.org., ns-976.awsdns-58.net., ns-1688.awsdns-19.co.uk., ns-361.awsdns-45.com."
partnersgroup.ro,302,https://www.partnersgroup.com,"ns-984.awsdns-59.net., ns-2042.awsdns-63.co.uk., ns-1392.awsdns-46.org., ns-219.awsdns-27.com."
partnersgroup.rs,302,https://www.partnersgroup.com,"ns-837.awsdns-40.net., ns-1338.awsdns-39.org., ns-352.awsdns-44.com., ns-1974.awsdns-54.co.uk."
partnersgroup.sg,302,https://www.partnersgroup.com,"ns-1868.awsdns-41.co.uk., ns-204.awsdns-25.com., ns-1532.awsdns-63.org., ns-685.awsdns-21.net."
partnersgroup.si,302,https://www.partnersgroup.com,"ns-1230.awsdns-25.org., ns-72.awsdns-09.com., ns-1616.awsdns-10.co.uk., ns-869.awsdns-44.net."
partnersgroup.site,302,https://www.partnersgroup.com,"ns-773.awsdns-32.net., ns-311.awsdns-38.com., ns-1343.awsdns-39.org., ns-1874.awsdns-42.co.uk."
partnersgroup.tw,302,https://www.partnersgroup.com,"ns-1950.awsdns-51.co.uk., ns-649.awsdns-17.net., ns-346.awsdns-43.com., ns-1508.awsdns-60.org."
partnersgroup.vn,302,https://www.partnersgroup.com,"ns-778.awsdns-33.net., ns-261.awsdns-32.com., ns-1562.awsdns-03.co.uk., ns-1078.awsdns-06.org."
partnersgroup.xxx,Error,,
partnersgroupaustralia.com.au,307,https://www.partnersgroupaustralia.com.au/en/home/,"ns-88.awsdns-11.com., ns-915.awsdns-50.net., ns-1366.awsdns-42.org., ns-1816.awsdns-35.co.uk."
partnersgroupprivateequity.com,302,https://www.partnersgroup.com,"ns-970.awsdns-57.net., ns-1859.awsdns-40.co.uk., ns-378.awsdns-47.com., ns-1064.awsdns-05.org."
partnersgroupprivateequitylimited.com,307,https://www.partnersgroupprivateequitylimited.com/en/,"ns-1865.awsdns-41.co.uk., ns-495.awsdns-61.com., ns-1463.awsdns-54.org., ns-968.awsdns-57.net."
pearl-privateequity.net,302,https://www.partnersgroup.com,"ns-1779.awsdns-30.co.uk., ns-443.awsdns-55.com., ns-1265.awsdns-30.org., ns-626.awsdns-14.net."
pg-globalvalue.net,307,https://www.pg-globalvalue.net/en/,"ns-1050.awsdns-03.org., ns-686.awsdns-21.net., ns-54.awsdns-06.com., ns-1743.awsdns-25.co.uk."
pg-impact.com,409,,"ns2.rfanyc.com., ns3.rfanyc.com., ns1.rfasource.com."
pg-impact.org,409,,"ns1.rfasource.com., ns3.rfanyc.com., ns2.rfanyc.com."
pggenerationsfund.com,307,https://www.pggenerationsfund.com/en/,"ns-1969.awsdns-54.co.uk., ns-1191.awsdns-20.org., ns-347.awsdns-43.com., ns-984.awsdns-59.net."
pggo.net,302,https://www.partnersgroup.com,"ns-1392.awsdns-46.org., ns-185.awsdns-23.com., ns-1956.awsdns-52.co.uk., ns-932.awsdns-52.net."
pgimpact.com,409,,"ns3.rfanyc.com., ns2.rfanyc.com., ns1.rfasource.com."
pgliquids.com,307,https://www.pgliquids.com/en/,"ns-1089.awsdns-08.org., ns-215.awsdns-26.com., ns-543.awsdns-03.net., ns-1802.awsdns-33.co.uk."
pgpe-ltd.com,307,https://www.partnersgroupprivateequitylimited.com/en/,"ns-83.awsdns-10.com., ns-1249.awsdns-28.org., ns-1768.awsdns-29.co.uk., ns-991.awsdns-59.net."
pgpe.ch,302,https://www.partnersgroup.com,"ns-1941.awsdns-50.co.uk., ns-1190.awsdns-20.org., ns-654.awsdns-17.net., ns-142.awsdns-17.com."
pgpe.gg,302,https://www.partnersgroup.com,"ns-955.awsdns-55.net., ns-1601.awsdns-08.co.uk., ns-324.awsdns-40.com., ns-1385.awsdns-45.org."
pgpe.uk,302,https://www.partnersgroup.com,"ns-472.awsdns-59.com., ns-1962.awsdns-53.co.uk., ns-1092.awsdns-08.org., ns-951.awsdns-54.net."
pgpel.com,307,https://www.partnersgroupprivateequitylimited.com/en/,"ns-1276.awsdns-31.org., ns-213.awsdns-26.com., ns-1979.awsdns-55.co.uk., ns-535.awsdns-02.net."
princess-privateequity.net,307,https://www.partnersgroupprivateequitylimited.com/en/,"ns-1273.awsdns-31.org., ns-1907.awsdns-46.co.uk., ns-568.awsdns-07.net., ns-111.awsdns-13.com."
taxunion.de,301,https://afileon.com,"ns1.markmonitor.com., ns6.markmonitor.com., ns4.markmonitor.com., ns7.markmonitor.com., ns2.markmonitor.com., ns5.markmonitor.com., ns3.markmonitor.com."
